"Entity","Code","Year","disr","homi","educ","fom","drogas","disr_log","homi_log","educ_log","fom_log","drogas_log"
"Norway","NOR",2006,24.3,0.706173885689707,486.527957167049,2.5,2.888766414,3.1904763503465,-0.347893774804108,6.18729436588873,0.916290731874155,1.06082956463272
"Norway","NOR",2009,24.1,0.60076483578404,499.875699776536,2.5,2.815664969,3.18221184049661,-0.509551709233049,6.21435946706905,0.916290731874155,1.03519845714111
"Norway","NOR",2012,24.9,0.538706350569742,494.523934741308,2.5,2.798308826,3.21486780347066,-0.618584660670607,6.20359555179499,0.916290731874155,1.029015243991
"Portugal","PRT",2000,36.9,1.12021911485887,458.995785394299,2.5,2.008642189,3.60821155104648,0.113524304439181,6.12904102787089,0.916290731874155,0.697458965938534
"Portugal","PRT",2003,37.8,1.42079140369709,467.73512135,2.5,2.000719456,3.63230910262554,0.351214042911656,6.14790215566913,0.916290731874155,0.693506843873341
"Portugal","PRT",2006,36.8,1.46227091049761,474.305889180987,2.5,1.974276255,3.60549784517489,0.379990645459377,6.16185244938032,0.916290731874155,0.680201878028159
"Portugal","PRT",2009,33.7,1.21944172832039,492.949967418761,2.5,1.911146918,3.51749783735832,0.198393154277069,6.20040768292664,0.916290731874155,0.647703542470459
"Portugal","PRT",2012,34.2,1.15292065515,489.274731981519,2.5,1.894940575,3.53222564406856,0.142298422917258,6.19292415580389,0.916290731874155,0.639187479203641
"Spain","ESP",2000,31.49,1.35195557195287,490.939007370946,2.5,2.169719589,3.44967003511293,0.301552116099233,6.19631989883799,0.916290731874155,0.774597937543544
"Spain","ESP",2003,31.49,1.37620897144767,487.09256947,2.5,2.232450526,3.44967003511293,0.319332596764899,6.1884541860667,0.916290731874155,0.803099872716692
"Spain","ESP",2006,32.4,1.06426906224391,488.424522403293,2.5,2.270464307,3.47815842279828,0.0622882369999757,6.19118495064704,0.916290731874155,0.819984351106384
"Spain","ESP",2009,33.5,0.886477669627502,488.254630256288,2.5,2.259491027,3.51154543883102,-0.120499343150612,6.19083705308364,0.916290731874155,0.815139578628738
"Spain","ESP",2012,33.7,0.77682493891467,496.445822824473,2.5,2.264459582,3.51749783735832,-0.252540257841337,6.2074743593531,0.916290731874155,0.81733613532316
"Sweden","SWE",2000,31.3,1.08088145882968,512.128270725064,2.5,2.374695791,3.44361809754611,0.0777768738371482,6.23857512242231,0.916290731874155,0.864869341282636
"Sweden","SWE",2003,27.6,0.949569800194874,506.12409744,2.5,2.412535965,3.3178157727231,-0.051746238851541,6.22678189107585,0.916290731874155,0.880678461891905
"Sweden","SWE",2006,31.1,1.00041071807063,503.334005841912,2.5,2.464370759,3.43720781918519,0.000410633749050793,6.22125397724973,0.916290731874155,0.901936504725119
"Sweden","SWE",2009,32,0.998552849966468,495.105898116161,2.5,2.540739743,3.46573590279973,-0.00144819816646758,6.20477167527594,0.916290731874155,0.93245527603064
"Sweden","SWE",2012,32,0.712720499214592,484.798965809011,2.5,2.525951016,3.46573590279973,-0.33866594213421,6.18373430152059,0.916290731874155,0.926617631816283
"Switzerland","CHE",2006,30.3,0.801988182169477,511.523909770542,2.5,2.526736636,3.41114771251532,-0.22066140667372,6.23739432871863,0.916290731874155,0.92692860295103
"Switzerland","CHE",2009,29.6,0.659156504562849,516.567510249693,2.5,2.438951957,3.38777436133001,-0.416794284719666,6.24720598718126,0.916290731874155,0.8915684212128
"Switzerland","CHE",2012,28.5,0.560281983697039,515.297523463759,2.5,2.408452602,3.3499040872746,-0.579315079671691,6.24474444931401,0.916290731874155,0.878984467425946
"United Kingdom","GBR",2000,35.3,1.55214052221946,532,2.5,3.020161017,3.56388296393925,0.439634960329465,6.27664348934164,0.916290731874155,1.1053101468529
"United Kingdom","GBR",2003,33.87,1.55420703199125,518.40338766,2.5,3.06622344,3.52252966682968,0.440965468291359,6.25075367985468,0.916290731874155,1.12044665450657
"United Kingdom","GBR",2006,35.06,1.41440852371258,514.773547839566,2.5,3.076228331,3.55706087949309,0.346711439263584,6.24372709102877,0.916290731874155,1.12370427873245
"United Kingdom","GBR",2009,35.67,1.12559096913813,513.710240139805,2.5,3.009206618,3.5743099993708,0.118308203632099,6.2416593713602,0.916290731874155,1.10167646195713
"United Kingdom","GBR",2012,33.55,0.975870474128304,514.129321054891,2.5,2.95653302,3.51303686341769,-0.0244254123100346,6.24247483119291,0.916290731874155,1.08401730482791
"United States","USA",2000,44.2,5.52728791117875,499.4601516259,2.5,5.33563594,3.78872478908365,1.70969726325824,6.21352781838157,0.916290731874155,1.67440807914931
"United States","USA",2003,44.5,5.69876750774609,491.26346276,2.5,5.326712546,3.79548918917219,1.74024992474893,6.19698056791737,0.916290731874155,1.67273426477435
"United States","USA",2006,45.2,5.81175625787713,488.906836775351,2.5,5.320790781,3.81109708683819,1.75988280709241,6.19217195348222,0.916290731874155,1.67162193535238
"United States","USA",2009,45.6,5.03109743574383,502.002265007935,2.5,5.322580984,3.81990771652034,1.61563813839456,6.21860463164955,0.916290731874155,1.67195833307604
"United States","USA",2012,46.3,4.7412449756758,497.409811483087,2.5,5.374247713,3.83514196109219,1.55629975431586,6.20941425671374,0.916290731874155,1.68161860384627
